filename,x,y,width,height,class
img1.jpg,151,118,109,109,gap
img1.jpg,284,61,101,100,gap
img10.jpg,445,131,93,126,gap
img10.jpg,244,133,89,93,gap
img100.jpg,175,158,62,108,gap
img100.jpg,152,16,86,86,gap
img1000.jpg,152,45,86,108,gap
img1000.jpg,325,149,126,124,gap
img1001.jpg,353,107,105,104,gap
img1001.jpg,156,73,134,134,gap
img1002.jpg,182,141,101,100,gap
img1002.jpg,345,44,114,114,gap
img1003.jpg,377,72,39,136,gap
img1003.jpg,236,138,96,95,gap
img1004.jpg,354,118,90,71,gap
img1004.jpg,205,65,94,94,gap
img1005.jpg,422,77,94,92,gap
img1005.jpg,182,102,142,124,gap
img1006.jpg,172,63,97,97,gap
img1006.jpg,279,85,112,114,gap
img1007.jpg,181,146,142,124,gap
img1007.jpg,332,108,110,112,gap
img1008.jpg,294,100,156,116,gap
img1008.jpg,451,133,82,107,gap
img1009.jpg,260,86,102,110,gap
img1009.jpg,409,183,74,78,gap
img101.jpg,389,119,83,90,gap
img101.jpg,217,90,81,99,gap
img1010.jpg,398,67,90,91,gap
img1010.jpg,201,53,70,92,gap
img1011.jpg,396,136,77,108,gap
img1011.jpg,234,85,98,120,gap
img1012.jpg,333,85,94,72,gap
img1012.jpg,204,29,91,91,gap
img1013.jpg,382,19,39,136,gap
img1013.jpg,230,166,95,95,gap
img1014.jpg,172,100,98,136,gap
img1014.jpg,406,148,121,109,gap
img1015.jpg,463,41,83,90,gap
img1015.jpg,249,90,109,133,gap
img1016.jpg,444,111,88,112,gap
img1016.jpg,200,69,91,86,gap
img1017.jpg,436,66,109,114,gap
img1017.jpg,288,80,101,116,gap
img1018.jpg,236,116,92,99,gap
img1018.jpg,344,27,101,54,gap
img1019.jpg,372,126,112,112,gap
img1019.jpg,257,159,101,100,gap
img102.jpg,366,128,119,88,gap
img102.jpg,331,38,92,80,gap
img1020.jpg,348,33,101,101,gap
img1020.jpg,273,143,123,123,gap
img1021.jpg,230,33,104,102,gap
img1021.jpg,218,159,117,113,gap
img1022.jpg,434,68,111,110,gap
img1022.jpg,156,32,125,125,gap
img1023.jpg,253,108,110,110,gap
img1023.jpg,404,180,86,86,gap
img1024.jpg,405,120,125,123,gap
img1024.jpg,277,101,80,104,gap
img1025.jpg,361,38,116,116,gap
img1025.jpg,238,157,76,86,gap
img1026.jpg,164,119,94,99,gap
img1026.jpg,451,64,81,81,gap
img1027.jpg,365,178,94,95,gap
img1027.jpg,207,100,102,90,gap
img1028.jpg,416,81,112,111,gap
img1028.jpg,269,85,91,100,gap
img1029.jpg,168,121,96,86,gap
img1029.jpg,279,154,107,92,gap
img103.jpg,363,107,110,109,gap
img103.jpg,185,15,107,110,gap
img1030.jpg,397,77,146,144,gap
img1030.jpg,194,42,86,86,gap
img1031.jpg,389,161,105,103,gap
img1031.jpg,205,36,88,86,gap
img1032.jpg,363,159,91,91,gap
img1032.jpg,248,49,102,92,gap
img1033.jpg,271,68,86,86,gap
img1033.jpg,400,51,108,109,gap
img1034.jpg,177,161,113,74,gap
img1034.jpg,343,69,112,118,gap
img1035.jpg,216,48,146,107,gap
img1035.jpg,442,76,102,123,gap
img1036.jpg,428,136,86,98,gap
img1036.jpg,290,58,86,96,gap
img1037.jpg,341,160,149,61,gap
img1037.jpg,203,58,112,125,gap
img1038.jpg,166,31,124,136,gap
img1038.jpg,363,40,143,148,gap
img1039.jpg,201,45,151,138,gap
img1039.jpg,384,64,103,144,gap
img104.jpg,417,142,87,92,gap
img104.jpg,439,12,74,88,gap
img1040.jpg,203,166,105,104,gap
img1040.jpg,346,148,115,93,gap
img1041.jpg,403,78,87,87,gap
img1041.jpg,155,55,76,62,gap
img1042.jpg,268,113,135,134,gap
img1042.jpg,420,91,117,119,gap
img1043.jpg,431,164,98,86,gap
img1043.jpg,238,48,110,91,gap
img1044.jpg,429,151,81,101,gap
img1044.jpg,269,80,94,96,gap
img1045.jpg,272,149,105,77,gap
img1045.jpg,408,99,105,119,gap
img1046.jpg,360,78,111,125,gap
img1046.jpg,156,168,70,90,gap
img1047.jpg,406,176,97,90,gap
img1047.jpg,208,26,82,107,gap
img1048.jpg,205,168,92,92,gap
img1048.jpg,403,89,107,106,gap
img1049.jpg,246,56,61,138,gap
img1049.jpg,326,79,113,98,gap
img105.jpg,360,26,141,81,gap
img105.jpg,275,127,117,118,gap
img1050.jpg,372,17,113,106,gap
img1050.jpg,207,47,113,119,gap
img1051.jpg,175,137,117,116,gap
img1051.jpg,381,61,96,92,gap
img1052.jpg,230,141,104,99,gap
img1052.jpg,346,89,113,86,gap
img1053.jpg,413,96,134,136,gap
img1053.jpg,232,140,67,122,gap
img1054.jpg,307,160,87,87,gap
img1054.jpg,453,112,86,86,gap
img1055.jpg,209,95,107,125,gap
img1055.jpg,378,81,99,103,gap
img1056.jpg,232,25,102,128,gap
img1056.jpg,362,71,110,108,gap
img1057.jpg,351,89,100,100,gap
img1057.jpg,463,81,86,89,gap
img1058.jpg,262,106,110,110,gap
img1058.jpg,150,106,87,87,gap
img1059.jpg,345,135,128,117,gap
img1059.jpg,232,73,108,105,gap
img106.jpg,351,33,66,91,gap
img106.jpg,196,178,95,78,gap
img1060.jpg,227,172,81,81,gap
img1060.jpg,196,39,108,110,gap
img1061.jpg,386,30,106,93,gap
img1061.jpg,150,109,121,122,gap
img1062.jpg,185,45,107,107,gap
img1062.jpg,462,19,66,91,gap
img1063.jpg,157,37,165,110,gap
img1063.jpg,419,89,104,108,gap
img1064.jpg,366,89,90,90,gap
img1064.jpg,186,55,106,112,gap
img1065.jpg,308,82,84,79,gap
img1065.jpg,399,117,132,106,gap
img1066.jpg,347,134,105,106,gap
img1066.jpg,178,92,126,140,gap
img1067.jpg,387,144,102,112,gap
img1067.jpg,225,156,107,100,gap
img1068.jpg,354,56,76,133,gap
img1068.jpg,190,121,122,131,gap
img1069.jpg,411,46,104,87,gap
